Attribute Name,Type,Notes,Definitions,Example Implementation,Priority,Source,Value
acknowledgement,string,The data are sponsored by NOAA and may be freely distributed,A place to acknowledge various types of support for the project that produced this data.,"acknowledgment = ""The VIIRS L2P sea surface temperature data are sponsored by NASA. Data may be freely distributed"" ;",recommended,ACDD 1.3,The data are sponsored by NOAA and may be freely distributed
cdm_data_type,string,,"The data type, as derived from Unidata's Common Data Model Scientific Data types and understood by THREDDS. The current choices are: Grid, Image, Point, Radial, Station, Swath, and Trajectory.",,recommended,ACDD,NA
comment,string,,"Miscellaneous information about the data, not captured elsewhere.","comment = ""MUR = Multi-scale Ultra-high Resolution"" ;",recommended,"ACDD 1.3, CF 1.10",NA
contributor_name,string,Ecosystem Dynamics and Assessment Branch,"The name of any individuals, projects, or institutions that contributed to the creation of this data. May be presented as free text, or in a structured format compatible with conversion to ncML (e.g., insensitive to changes in whitespace, including end-of-line characters).","contributor_name = ""PO.DAAC/OBPS/REMAS"";",recommended,ACDD 1.3,Ecosystem Dynamics and Assessment Branch
contributor_role,string,,"The role of any individuals, projects, or institutions that contributed to the creation of this data. May be presented as free text, or in a structured format compatible with conversion to ncML (e.g., insensitive to changes in whitespace, including end-of-line characters). Multiple roles should be presented in the same order and number as the names in contributor_names.","contributor_role = ""PO.DAAC converted the VIIRS S-NPP L2 SST to GDS2 L2P format, OBPG processed the original L2 SST, and RSMAS provided the SST algorithm, cloud masking and error statistics "";",recommended,ACDD 1.3,NA
contributor_type,string,group,,,,,NA
contributor_url,string,https://www.fisheries.noaa.gov/new-england-mid-atlantic/ecosystems/northeast-ecosystem-dynamics-and-assessment-our-research,,,,,NA
contributor_institution,string,DOC | NOAA | National Marine Fisheries Service | Northeast Fisheries Science Center,,,,,DOC | NOAA | National Marine Fisheries Service | Northeast Fisheries Science Center
Conventions,string,"CF-1.11, COARDS, ACDD-1.3","A comma-separated list of the conventions that are followed by the dataset. For files that follow this version of ACDD, include the string 'ACDD-1.3'. (This attribute is defined in NUG 1.7.)","Conventions = ""CF-1.10, ACDD-1.3, ISO 8601"";",required,"ACDD 1.3, CF 1.10","CF-1.6, COARDS, ACDD-1.3"
creator_email,string,kimberly.hyde@noaa.gov,The email address of the person (or other creator type specified by the creator_type attribute) principally responsible for creating this data.,"creator_email = ""ghrsst@jpl.nasa.gov"" ;",recommended,ACDD 1.3,joseph.caracappa@noaa.gov
creator_institution,string,DOC | NOAA | National Marine Fisheries Service | Fisheries Northeast Fisheries Science Center | Ecosystem Assessment and Dynamics Branch,"The institution of the creator; should uniquely identify the creator's institution. This attribute's value should be specified even if it matches the value of publisher_institution, or if creator_type is institution.","creator_institution = = ""JPL PO.DAAC/GHRSST"";",recommended,ACDD 1.3,DOC | NOAA | National Marine Fisheries Service | Fisheries Northeast Fisheries Science Center | Ecosystem Assessment and Dynamics Branch
creator_name,string,Kimberly Hyde,The name of the person (or other creator type specified by the creator_type attribute) principally responsible for creating this data.,"creator_name = ""JPL PO.DAAC"" ;",required,ACDD 1.3,Joseph Caracappa
creator_type,string,person,"Specifies type of creator with one of the following: 'person', 'group', 'institution', or 'position'. If this attribute is not specified, the creator is assumed to be a person.","creator_type = ""Institution"":",recommended,ACDD 1.3,person
creator_url,string,https://www.fisheries.noaa.gov/new-england-mid-atlantic/ecosystems/northeast-ecosystem-dynamics-and-assessment,The URL of the of the person (or other creator type specified by the creator_type attribute) principally responsible for creating this data.,"creator_url = ""http://podaac.jpl.nasa.gov"" ;",required,ACDD 1.3,https://www.fisheries.noaa.gov/new-england-mid-atlantic/ecosystems/northeast-ecosystem-dynamics-and-assessment
date_created,string,(determined when creating the netcdf files),"The date on which this version of the data was created. (Modification of values implies a new version, hence this would be assigned the date of the most recent values modification.) Metadata changes are not considered when assigning the date_created. The ISO 8601:2004 extended date format is recommended, as described in the Attribute Content Guidance section 2.6.1.","date_created = ""2016-10-14T21:00:25"" ;",required,ACDD 1.3,2024-11-07T16:00:00
date_issued,string,(should be the date published),"The date on which this data (including all modifications) was formally issued (i.e., made available to a wider audience). Note that these apply just to the data, not the metadata. The ISO 8601:2004 extended date format is recommended, as described in the Attributes Content Guidance section 2.6.1.","date_issued = ""2016-10-14T21:00:25"" ;",recommended,ACDD 1.3,NA
date_metadata_modified,string,,"The date on which the metadata was last modified. The ISO 8601:2004 extended date format is recommended, as described in the Attributes Content Guidance section 2.6.1.","date_metadata_modified = ""2016-10-14T21:00:25"" ;",recommended,ACDD 1.3,NA
date_modified,string,,"The date on which the data was last modified. Note that this applies just to the data, not the metadata. The ISO 8601:2004 extended date format is recommended, as described in the Attributes Content Guidance section 2.6.1.","date_modified = ""2016-10-14T21:00:25"" ;",recommended,ACDD 1.3,NA
geospatial_bounds,float,(determined based on the output grid),"Describes the data's 2D or 3D geospatial extent in OGC's Well-Known Text (WKT) Geometry format (reference the OGC Simple Feature Access (SFA) specification). The meaning and order of values for each point's coordinates depends on the coordinate reference system (CRS). The ACDD default is 2D geometry in the EPSG:4326 coordinate reference system. The default may be overridden with geospatial_bounds_crs and geospatial_bounds_vertical_crs (see those attributes). EPSG:4326 coordinate values are latitude (decimal degrees_north) and longitude (decimal degrees_east), in that order. Longitude values in the default case are limited to the (-180, 180) range. Example: ""POLYGON ((40.26 -111.29, 41.26 -111.29, 41.26 -110.29, 40.26 -110.29, 40.26 -111.29))"".","geospatial_bounds = ""(-143.09, -63.1404, -88.893, -36.7432)"";",recommended,ACDD 1.3,"(34,47,-78,-62)"
