Attribute Name,Type,Definitions,Example Implementation,Priority,Source,Variable Type,Value
_FillValue,float,Assigned value in the variable designating a null or missing observation. Using NaN (Not a Number) to specify this attribute is strongly discouraged.,_FillValue = -32767s ;,required,CF 1.10,measurement/auxillary/quality variables,0
add_offset,float,Intercept of scaling relationship applied to transform measuement data to appropriate geophysical quantity representations. Should not be used if the scale_factor is '1' and add_offset is '0',add_offset = 273.15f ;,required if applicable,CF 1.10,measurement/auxillary/quality variables,NA
ancillary_variables,string,This attribute can be used to associate two different variables with one another. This attribute is generally used to associate with the given geophysical variable another variable containing metadata about each value in the given geophysical variable. An example is the flag variables used to show the status of each value in the geophysical variable. The standard name for the ancillary variable could be standard name of the geophysical variable followed by standard name modifier. See the comments for an example.,,recommended,CF,,NA
axis,char,"This attribute is specifically for the variables time, latitude, longitude, and altitude when they are identified as the coordinate variables. The values of each variable coordinates axis are as follows: time = “T”, latitude = “Y”, longitude = “X”, and altitude = “Z”.","The axis attribute can only be attached to true, 1-D coordinate variables. If the true coordinates are X and Y (a projected coordinate system, for example), then the axis attribute is to be applied to those and not to the 2-D latitude and longitude auxiliary coordinate variables. If the X and Y coordinates are not included in the file, then no variable should have an 'X' or 'Y' axis attribute attached. Additionally, the 'Z' axis attribute can be applied to any 1-D coordinate variable that represents vertical position, such as depth or pressure.",recommended if applicable,CF,,NA
bounds,string,Name of the variable which contains the vertices of the cell boundaries. This attribute must be present for all the coordinate variables which are used within cell_methods for representing non-point statistics.,It is important to have bounds for a geophysical coordinate variable if a geophysical variable is extensive along it.,,CF,,NA
calendar,string,"This attribute is used to show the type of calendar used for representing dates within a netcdf file. The possible values are gregorian(default), proleptic_gregorian, all_leap, 360_day, julian, or none.",,recommended if applicable,CF,,NA
cell_measures,string,"This attribute has the form ""measure_type:variable_name"" where measure_type could be one of the two: ""area"" or ""volume"" and variable_name holds the name of the variable holding the areas or volumes corresponding to the cells. This attribute is necessitated by the fact that the cell areas or volumes cannot be determined purely by the boundary points of the cells. One would have to know how they are connected, though it is common to assume great circle connectivity.",This attribute is not a required attribute.,recommended if applicable,CF,,NA
cell_methods,string,"Describes the characteristic of the field. This is a string attribute comprising a list of blank-separated words of the form ""name: method"", e.g. t: mean. The possible values for method are point, sum, maximum, median, mid_range, minimum, mean, mode, standard_deviation and variance. The possible values for name are dimension of the variable, a scalar coordinate variable, a valid standard name, or the word ""area"".",Multiple strings of this form could be repeated if more than one cell method is present. They would be arranged in the order they were applied. CF recommends use of cell_methods for each spatio-temporal dimension and each spatio-temporal scalar coordinate variable.,recommended if applicable,CF,,NA
cf_role,string,"Where feasible a variable with the attribute cf_role should be included. The only acceptable values of cf_role for Discrete Geometry CF data sets are ""=station_id="", ""=profile_id="", and ""=trajectory_id="". The variable carrying the cf_role attribute may have any data type. When a variable is assigned this attribute, it must provide a unique identifier for each feature instance. CF files that contain timeSeries, profile or trajectory featureTypes, should include only a single occurrence of a cf_role attribute; CF files that contain timeSeriesProfile or trajectoryProfile may contain two occurrences, corresponding to the two levels of structure in these feature types.","The cf_role attribute should only be attached to a coordinated variable (See Appendix A). In order for the CF Checker to determine that station_name is indeed a coordinate variable it must be listed as such in the ""coordinates"" attribute.",recommended if applicable,CF,,NA
climatology,string,This attribute points to another variable containing climatological bounds. Climatological bounds are the starting and ending dates for each climatological interval.,,recommended if applicable,CF,,NA
